experimenter,RA,location,study name,IRB_protocol,subid,study version,gender,hisp,ethnicity,english,numlang,parented,othered,premie,xcalib,ycalib,consent,age,agegroup,exclude,notes,,
AEN,AEN,CDM,negtracker,19960,101812_08,5_1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,2,ended before calibration,,
AEN,AEN,CDM,negtracker,19960,101812_09,5_1,female,no,asian,90,2,4,4,no,0.385,0.55,0,2.047912389,2,0,,,
AEN,AEN,CDM,negtracker,19960,101812_10,5_1,male,no,white,100,1,6,6,no,0.2025,0.965,1,2.357289528,2,0,,,
AEN,AEN,CDM,negtracker,19960,101812_11,5_1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,3,would not calibrate,,
AEN,AEN,CDM,negtracker,19960,102512_01,5_1,male,no,white,25,2,4,4,no,1.96,5.03,1,2.078028747,2,1,no english,,
AEN,AEN,CDM,negtracker,19960,102512_02,5_1,female,no,amindian,100,2,4,4,no,0.8625,0.4525,1,0.900752909,0,4,maybe parents eyes?,,
AEN,AEN,CDM,negtracker,19960,102512_03,5_1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.92,2.5175,1,1.25,1,0,exclude?,,
AEN,AEN,CDM,negtracker,19960,102512_04,5_1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,3,no data,,
AEN,AEN,CDM,negtracker,19960,102512_05,5_1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.58,2.9425,1,1.04312115,1,0,exclude?,,
AEN,AEN,CDM,negtracker,19960,102512_06,5_1,male,no,white,100,1,4,4,yes,0.23,1.235,1,1.133470226,1,0,,,
AEN,AEN,CDM,negtracker,19960,102512_07,5_1,male,no,asian,100,1,4,4,no,0.535,0.5975,1,1.724845996,1,0,,,
AEN,AEN,CDM,negtracker,19960,102512_08,5_1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,3,no data,,
AEN,AEN,CDM,negtracker,19960,102512_09,5_1,female,yes,NaN,50,2,4,6,no,1.25,2.645,1,1.448323066,1,1,no english,,
AEN,AEN,CDM,negtracker,19960,102512_10,5_1,male,no,white,100,1,4,4,yes,1.625,1.5825,0,2.370978782,2,0,,,
AEN,AEN,CDM,negtracker,19960,102512_11,5_1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,2,ended before calibration,,
AEN,AEN,CDM,negtracker,19960,110112_01,5_2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.7075,4.795,1,NaN,NaN,2,"ended early, no data",,
AEN,AEN,CDM,negtracker,19960,110112_02,5_2,male,no,white,5,3,6,6,no,0.7325,1.7825,0,2.105407255,2,1,no english,,
AEN,AEN,CDM,negtracker,19960,110112_03,5_2,male,no,white,25,2,6,6,yes,0.85,1.3475,1,2.406570842,2,1,parent was translating,,
AEN,AEN,CDM,negtracker,19960,110112_04,5_2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.34,0.33,1,2.973305955,2,1,no english?,,
AEN,AEN,CDM,negtracker,19960,110112_05,5_2,female,no,asian,50,3,4,6,no,1.0025,0.8375,0,1.943874059,1,1,no english,,
AEN,AEN,CDM,negtracker,19960,110112_06,5_2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.085,0.51,1,1.166666667,1,3,no data,,
AEN,AEN,CDM,negtracker,19960,110112_07,5_2,male,yes,other,100,3,4,3,no,3.5775,3.1075,1,1.453798768,1,0,,,
AEN,AEN,CDM,negtracker,19960,110112_08,5_2,female,no,white,100,1,6,4,no,0.895,1.2775,1,1.864476386,1,0,,,
AEN,AEN,CDM,negtracker,19960,110112_09,5_2,female,no,asian,100,1,2,3,yes,0.575,0.9625,0,2.001368925,2,0,,,
AEN,AEN,CDM,negtracker,19960,110112_10,5_2,male,no,white,90,1,3,4,no,0.905,2.76,1,2.395619439,2,0,,,
AEN,AEN,CDM,negtracker,19960,110112_11,5_2,female,yes,other,100,1,3,3,no,1.0775,2.095,0,1.086926762,1,0,,,
AEN,AEN,CDM,negtracker,19960,110112_12,5_2,female,no,white,100,1,4,4,no,0.52,1.2425,0,2.861054073,2,0,possible developmental delay,,
AEN,AEN,CDM,negtracker,19960,110112_13,5_2,female,NaN,NaN,100,1,NaN,NaN,NaN,0.8075,0.7975,1,2.338124572,2,0,,,
AEN,AEN,CDM,negtracker,19960,110812_01,5_2,male,yes,white,100,1,5,5,no,1.3325,2.505,1,2.46954141,2,0,,,
AEN,AEN,CDM,negtracker,19960,110812_02,5_2,male,no,asian,100,1,4,4,no,0.815,0.3575,1,2.266940452,2,0,,,
AEN,AEN,CDM,negtracker,19960,110812_03,5_2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.99,5.775,1,NaN,NaN,3,no data,,
AEN,AEN,CDM,negtracker,19960,110812_04,5_2,female,no,white,100,1,6,6,no,0.675,0.5225,1,2.420260096,2,0,,,
