bank,item,a,d
eng_comprehension_full,jacket,1.6854759379682325,-1.5557144904055986
eng_comprehension_full,jeans,2.444867554273159,-4.6444558372462454
eng_comprehension_full,juice,1.6873026046354362,1.0946277082629448
eng_comprehension_full,jump,1.857285916912957,-1.98227157290765
eng_comprehension_full,keys,2.7081410490561315,1.1167261199529852
eng_comprehension_full,kick,1.873045907263238,-1.7452573573277141
eng_comprehension_full,kiss,1.8097397736683816,1.9216259409883294
eng_comprehension_full,kitchen,2.7884899108611516,-0.9133242737663038
eng_comprehension_full,kitty,1.362044557843474,0.8500766673533948
eng_comprehension_full,knee,2.4473336399781003,-3.084352389330337
eng_comprehension_full,lady,2.007910121797806,-3.569721872091566
eng_comprehension_full,lamb,1.897633345261463,-2.3703846522471888
eng_comprehension_full,lamp,2.2729962361007643,-3.1200555929667386
eng_comprehension_full,later,2.1572655737781785,-3.977762108235579
eng_comprehension_full,leg,3.081963618728266,-2.3780306281532053
eng_comprehension_full,light,2.2515129573643367,-0.49588717040379054
eng_comprehension_full,lion,2.0158688022758593,-2.117159183373706
eng_comprehension_full,little (description),2.9368001528904824,-4.2269556624193365
eng_comprehension_full,living room,2.2975343842357168,-2.642852723636099
eng_comprehension_full,look,1.8324807453292788,0.5830517645511647
eng_comprehension_full,love,1.713059842923935,-0.7674539897145664
eng_comprehension_full,lunch,2.1835297806015945,-0.4991774538620529
eng_comprehension_full,man,2.122957652708035,-3.3772234540505455
eng_comprehension_full,me,1.8319557752412032,-1.8578429288196687
eng_comprehension_full,meat,1.9659519032944233,-2.966060697538312
eng_comprehension_full,medicine,1.4542492133797749,-1.4095992068831098
eng_comprehension_full,meow,1.704957575663211,0.5391067855789617
eng_comprehension_full,milk,1.7017085160744239,0.874408756121282
eng_comprehension_full,mine,1.5907294031617367,-1.46274858756567
eng_comprehension_full,mommy*,1.3614737472787108,4.331975477978648
eng_comprehension_full,money,1.9415232690846571,-2.869260808420111
eng_comprehension_full,monkey,2.100323825137572,-1.7563438650203116
eng_comprehension_full,moo,1.8878368704869164,-0.12685369187477175
eng_comprehension_full,moon,1.739121224281024,-1.7732952046238517
eng_comprehension_full,more,1.92926520842471,0.19479755956113828
eng_comprehension_full,morning,1.7240356662243572,-3.223838605712764
eng_comprehension_full,motorcycle,1.7215853223074693,-2.9506347531524466
eng_comprehension_full,mouse,2.233234452026625,-2.5522427190557826
eng_comprehension_full,mouth,2.635173717944932,0.6380643298874189
eng_comprehension_full,my,1.9861610128417586,-2.9506393294029523
eng_comprehension_full,nap,2.0947250424876023,0.4491145203353135
eng_comprehension_full,naughty,1.1610635485112226,-2.9321551300308077
eng_comprehension_full,necklace,1.9314826945086108,-2.6874133748814986
eng_comprehension_full,nice,1.405382715159398,-1.4610265977722574
eng_comprehension_full,night,1.779184548332566,-2.2318510937730864
eng_comprehension_full,night night,1.5080772954724935,1.565429099558119
eng_comprehension_full,no,1.4808969827072946,3.3549066587045306
eng_comprehension_full,none,1.8017362341724235,-3.3591468727048754
eng_comprehension_full,noodles,1.9956128748654245,-2.0410195905053286
eng_comprehension_full,nose,2.195795663231807,1.267903984993655
eng_comprehension_full,not,2.112347598035474,-3.6342793757629352
eng_comprehension_full,now,2.0267297334290233,-3.0847725576195772
eng_comprehension_full,off,2.1788005566554536,-0.7641823588899053
eng_comprehension_full,old,2.8090220959435204,-7.306846546548337
eng_comprehension_full,on,2.4682584244356613,-1.04631594132039
eng_comprehension_full,open,2.8434036331257038,-0.20026079827077423
eng_comprehension_full,orange (food),2.3451675755213652,-2.4664560194810137
eng_comprehension_full,other,2.222114626840698,-4.266664121349181
eng_comprehension_full,ouch,1.5645523807837682,0.027101905710222578
eng_comprehension_full,out,2.300846787289937,-0.9499267539557719
eng_comprehension_full,outside,2.312454866663895,1.3461579361759866
eng_comprehension_full,oven,2.27668363543968,-2.7758440429772477
eng_comprehension_full,owie/boo boo,1.6277596101500658,-0.9388964005571707
eng_comprehension_full,owl,1.9307215500272092,-2.6358742816342677
eng_comprehension_full,pajamas,2.443804636409882,-0.7466855509218411
eng_comprehension_full,pants,2.8556082398679012,-1.5649009629516375
