target_side,vanilla_trial,condition,target_id,distractor_id,full_phrase,trial_type_id,dataset_id,lab_trial_id,aoi_region_set_id,point_of_disambiguation,full_phrase_language,trial_type_aux_data
right,TRUE,Colors_familiar,6,0,Kitty Wheresthe_ Kitty,58,0,Colors_familiar-Kitty-Shoe,NA,0,eng,NA
left,TRUE,Colors_familiar,5,3,Car Canyoufindthe_ Car,59,0,Colors_familiar-Car-Dog,NA,0,eng,NA
left,TRUE,Colors_familiar,8,0,Ball Wheresthe_ Ball,60,0,Colors_familiar-Ball-Shoe,NA,0,eng,NA
left,FALSE,Colors_novel,9,7,Lif Canyoufindthe_ Lif,61,0,Colors_novel-Lif-FribbleA,NA,0,eng,NA
right,TRUE,Colors_familiar,5,3,Car Wheresthe_ Car,62,0,Colors_familiar-Car-Dog,NA,0,eng,NA
right,FALSE,Colors_novel,7,9,Neem Canyoufindthe_ Neem,63,0,Colors_novel-Neem-FribbleB,NA,0,eng,NA
right,FALSE,Colors_novel,9,7,Lif Canyoufindthe_ Lif,64,0,Colors_novel-Lif-FribbleA,NA,0,eng,NA
left,TRUE,Colors_familiar,4,3,Baby Wheresthe_ Baby,65,0,Colors_familiar-Baby-Dog,NA,0,eng,NA
right,TRUE,Colors_familiar,6,3,Kitty Wheresthe_ Kitty,66,0,Colors_familiar-Kitty-Dog,NA,0,eng,NA
left,FALSE,Colors_novel,7,9,Neem Canyoufindthe_ Neem,67,0,Colors_novel-Neem-FribbleB,NA,0,eng,NA
left,TRUE,Colors_familiar,0,4,Shoe Wheresthe_ Shoe,68,0,Colors_familiar-Shoe-Baby,NA,0,eng,NA
right,FALSE,Colors_novel,9,7,Lif Canyoufindthe_ Lif,69,0,Colors_novel-Lif-FribbleA,NA,0,eng,NA
left,TRUE,Colors_familiar,5,0,Car Wheresthe_ Car,70,0,Colors_familiar-Car-Shoe,NA,0,eng,NA
right,FALSE,Colors_novel,7,9,Neem Canyoufindthe_ Neem,71,0,Colors_novel-Neem-FribbleB,NA,0,eng,NA
left,FALSE,Colors_novel,9,7,Lif Canyoufindthe_ Lif,72,0,Colors_novel-Lif-FribbleA,NA,0,eng,NA
right,TRUE,Colors_familiar,6,0,Kitty Wheresthe_ Kitty,73,0,Colors_familiar-Kitty-Shoe,NA,0,eng,NA
right,TRUE,Colors_familiar,5,3,Car Wheresthe_ Car,74,0,Colors_familiar-Car-Dog,NA,0,eng,NA
right,FALSE,Colors_novel,2,1,Neem Canyoufindthe_ Neem,75,0,Colors_novel-Neem-FribbleA,NA,0,eng,NA
left,TRUE,Colors_familiar,6,3,Kitty Wheresthe_ Kitty,76,0,Colors_familiar-Kitty-Dog,NA,0,eng,NA
left,FALSE,Colors_novel,1,2,Lif Canyoufindthe_ Lif,77,0,Colors_novel-Lif-FribbleB,NA,0,eng,NA
left,TRUE,Colors_familiar,8,5,Ball Canyoufindthe_ Ball,78,0,Colors_familiar-Ball-Car,NA,0,eng,NA
left,FALSE,Colors_novel,2,1,Neem Wheresthe_ Neem,79,0,Colors_novel-Neem-FribbleA,NA,0,eng,NA
right,TRUE,Colors_familiar,4,3,Baby Wheresthe_ Baby,80,0,Colors_familiar-Baby-Dog,NA,0,eng,NA
right,FALSE,Colors_novel,1,2,Lif Canyoufindthe_ Lif,81,0,Colors_novel-Lif-FribbleB,NA,0,eng,NA
left,TRUE,Colors_familiar,0,3,Shoe Canyoufindthe_ Shoe,82,0,Colors_familiar-Shoe-Dog,NA,0,eng,NA
left,FALSE,Colors_novel,2,1,Neem Wheresthe_ Neem,83,0,Colors_novel-Neem-FribbleA,NA,0,eng,NA
right,TRUE,Colors_familiar,3,6,Dog Canyoufindthe_ Dog,84,0,Colors_familiar-Dog-Kitty,NA,0,eng,NA
right,FALSE,Colors_novel,1,2,Lif Wheresthe_ Lif,85,0,Colors_novel-Lif-FribbleB,NA,0,eng,NA
right,TRUE,Colors_familiar,5,3,Car Wheresthe_ Car,86,0,Colors_familiar-Car-Dog,NA,0,eng,NA
left,FALSE,Colors_novel,1,2,Lif Canyoufindthe_ Lif,87,0,Colors_novel-Lif-FribbleB,NA,0,eng,NA
