trial_id,trial_order,trial,trial_type_id,excluded,exclusion_reason,trial_aux_data
708,7,7,549,FALSE,included,NA
709,8,8,463,TRUE,< 50% looking on trial,NA
710,1,1,550,FALSE,included,NA
711,2,2,551,FALSE,included,NA
712,3,3,438,FALSE,included,NA
713,4,4,552,FALSE,included,NA
714,5,5,553,FALSE,included,NA
715,6,6,554,FALSE,included,NA
716,7,7,555,TRUE,no looking 2nd target window (4500-5967,NA
717,1,1,556,FALSE,included,NA
718,2,2,551,FALSE,included,NA
719,3,3,557,TRUE,no pre-onset looking,NA
720,4,4,541,FALSE,included,NA
721,5,5,440,FALSE,included,NA
722,6,6,509,FALSE,included,NA
723,7,7,558,FALSE,included,NA
724,8,8,559,FALSE,included,NA
725,1,1,560,FALSE,included,NA
726,2,2,522,TRUE,< 50% looking on trial,NA
727,3,3,474,TRUE,< 50% looking on trial,NA
728,4,4,535,FALSE,included,NA
729,5,5,561,TRUE,< 50% looking on trial,NA
730,6,6,562,FALSE,included,NA
731,7,7,563,TRUE,< 50% looking on trial,NA
732,8,8,527,TRUE,< 50% looking on trial,NA
733,1,1,506,FALSE,included,NA
734,2,2,398,FALSE,included,NA
735,3,3,564,FALSE,included,NA
736,4,4,541,FALSE,included,NA
737,5,5,440,FALSE,included,NA
738,6,6,477,FALSE,included,NA
739,7,7,555,TRUE,< 50% looking on trial,NA
740,8,8,565,FALSE,included,NA
741,1,1,566,FALSE,included,NA
742,2,2,473,FALSE,included,NA
743,3,3,474,TRUE,< 50% looking on trial,NA
744,4,4,567,FALSE,included,NA
745,5,5,568,FALSE,included,NA
746,6,6,569,TRUE,no looking 2nd target window (4500-5967,NA
747,7,7,558,FALSE,included,NA
748,8,8,497,TRUE,< 50% looking on trial,NA
749,1,1,516,FALSE,included,NA
750,2,2,570,FALSE,included,NA
751,3,3,571,FALSE,included,NA
752,4,4,467,FALSE,included,NA
753,5,5,572,FALSE,included,NA
754,6,6,573,FALSE,included,NA
755,7,7,520,TRUE,< 50% looking on trial,NA
756,8,8,471,FALSE,included,NA
757,1,1,574,FALSE,included,NA
758,2,2,570,FALSE,included,NA
759,3,3,575,TRUE,no looking 2nd target window (4500-5967,NA
760,4,4,576,FALSE,included,NA
761,5,5,577,FALSE,included,NA
762,6,6,485,FALSE,included,NA
763,7,7,578,FALSE,included,NA
764,8,8,487,FALSE,included,NA
765,1,1,579,FALSE,included,NA
766,2,2,430,FALSE,included,NA
767,3,3,580,TRUE,< 50% looking on trial,NA
768,4,4,454,FALSE,included,NA
769,5,5,425,TRUE,< 50% looking on trial,NA
770,6,6,581,FALSE,included,NA
771,7,7,582,FALSE,included,NA
772,8,8,463,TRUE,< 50% looking on trial,NA
773,1,1,583,FALSE,included,NA
774,2,2,551,FALSE,included,NA
775,3,3,584,FALSE,included,NA
776,4,4,585,FALSE,included,NA
777,5,5,484,FALSE,included,NA
778,6,6,402,FALSE,included,NA
779,7,7,586,FALSE,included,NA
780,8,8,559,FALSE,included,NA
781,1,1,587,FALSE,included,NA
782,2,2,406,FALSE,included,NA
783,3,3,407,FALSE,included,NA
784,4,4,588,FALSE,included,NA
785,5,5,476,FALSE,included,NA
786,6,6,589,FALSE,included,NA
787,7,7,478,FALSE,included,NA
788,8,8,590,FALSE,included,NA
789,1,1,591,FALSE,included,NA
790,2,2,465,FALSE,included,NA
791,3,3,592,FALSE,included,NA
792,4,4,467,FALSE,included,NA
793,5,5,593,FALSE,included,NA
794,6,6,469,TRUE,no looking 2nd target window (4500-5967,NA
795,7,7,594,FALSE,included,NA
796,8,8,487,TRUE,< 50% looking on trial,NA
