target_side,target_id,distractor_id,full_phrase,trial_type_id,dataset_id,lab_trial_id,aoi_region_set_id,point_of_disambiguation,full_phrase_language,condition
left,13,17,NA,178,0,TLOTL2-24-2-13,NA,0,eng,
right,10,9,NA,179,0,TLOTL2-24-2-14,NA,0,eng,
left,11,8,NA,180,0,TLOTL2-24-2-15,NA,0,eng,
left,11,23,NA,181,0,TLOTL2-24-2-15,NA,0,eng,
left,12,8,NA,182,0,TLOTL2-24-2-15,NA,0,eng,
left,12,23,NA,183,0,TLOTL2-24-2-15,NA,0,eng,
left,9,10,NA,184,0,TLOTL2-24-2-16,NA,0,eng,
right,17,13,NA,185,0,TLOTL2-24-2-17,NA,0,eng,
left,18,27,NA,186,0,TLOTL2-24-2-18,NA,0,eng,
left,18,28,NA,187,0,TLOTL2-24-2-18,NA,0,eng,
left,19,27,NA,188,0,TLOTL2-24-2-18,NA,0,eng,
left,19,28,NA,189,0,TLOTL2-24-2-18,NA,0,eng,
right,20,7,NA,190,0,TLOTL2-24-2-19,NA,0,eng,
right,21,14,NA,191,0,TLOTL2-24-2-21,NA,0,eng,
right,21,15,NA,192,0,TLOTL2-24-2-21,NA,0,eng,
right,22,14,NA,193,0,TLOTL2-24-2-21,NA,0,eng,
right,22,15,NA,194,0,TLOTL2-24-2-21,NA,0,eng,
right,8,25,NA,195,0,TLOTL2-24-2-22,NA,0,eng,
right,8,26,NA,196,0,TLOTL2-24-2-22,NA,0,eng,
right,23,25,NA,197,0,TLOTL2-24-2-22,NA,0,eng,
right,23,26,NA,198,0,TLOTL2-24-2-22,NA,0,eng,
left,24,0,NA,199,0,TLOTL2-24-2-23,NA,0,eng,
left,17,13,NA,200,0,TLOTL2-24-2-24,NA,0,eng,
left,7,20,NA,201,0,TLOTL2-24-2-25,NA,0,eng,
right,25,16,NA,202,0,TLOTL2-24-2-26,NA,0,eng,
right,25,29,NA,203,0,TLOTL2-24-2-26,NA,0,eng,
right,26,16,NA,204,0,TLOTL2-24-2-26,NA,0,eng,
right,26,29,NA,205,0,TLOTL2-24-2-26,NA,0,eng,
right,9,10,NA,206,0,TLOTL2-24-2-27,NA,0,eng,
left,0,24,NA,207,0,TLOTL2-24-2-28,NA,0,eng,
left,25,8,NA,208,0,TLOTL2-24-2-29,NA,0,eng,
left,25,23,NA,209,0,TLOTL2-24-2-29,NA,0,eng,
left,26,8,NA,210,0,TLOTL2-24-2-29,NA,0,eng,
left,26,23,NA,211,0,TLOTL2-24-2-29,NA,0,eng,
right,13,17,NA,212,0,TLOTL2-24-2-30,NA,0,eng,
right,27,18,NA,213,0,TLOTL2-24-2-31,NA,0,eng,
right,27,19,NA,214,0,TLOTL2-24-2-31,NA,0,eng,
right,28,18,NA,215,0,TLOTL2-24-2-31,NA,0,eng,
right,28,19,NA,216,0,TLOTL2-24-2-31,NA,0,eng,
left,10,9,NA,217,0,TLOTL2-24-2-32,NA,0,eng,
left,17,13,NA,218,0,TLOTL2-24-2-34,NA,0,eng,
right,27,21,NA,219,0,TLOTL2-24-2-35,NA,0,eng,
right,27,22,NA,220,0,TLOTL2-24-2-35,NA,0,eng,
right,28,21,NA,221,0,TLOTL2-24-2-35,NA,0,eng,
right,28,22,NA,222,0,TLOTL2-24-2-35,NA,0,eng,
right,18,14,NA,223,0,TLOTL2-24-2-36,NA,0,eng,
