trial_id,trial_order,trial_type_id,trial_aux_data,excluded,exclusion_reason
203,18,6,NA,FALSE,NA
216,19,14,NA,FALSE,NA
229,20,15,NA,FALSE,NA
242,22,16,NA,FALSE,NA
255,23,17,NA,FALSE,NA
268,24,18,NA,FALSE,NA
281,25,19,NA,FALSE,NA
294,26,20,NA,FALSE,NA
307,27,21,NA,FALSE,NA
319,29,22,NA,FALSE,NA
331,30,14,NA,FALSE,NA
342,31,9,NA,FALSE,NA
353,32,15,NA,FALSE,NA
363,33,16,NA,FALSE,NA
373,34,7,NA,FALSE,NA
382,36,23,NA,FALSE,NA
392,37,10,NA,FALSE,NA
402,38,0,NA,FALSE,NA
412,39,1,NA,FALSE,NA
422,40,8,NA,FALSE,NA
432,41,11,NA,FALSE,NA
9,1,0,NA,FALSE,NA
22,2,1,NA,FALSE,NA
35,3,2,NA,FALSE,NA
48,4,3,NA,FALSE,NA
61,5,4,NA,FALSE,NA
74,6,5,NA,FALSE,NA
87,8,6,NA,FALSE,NA
100,9,7,NA,FALSE,NA
113,10,8,NA,FALSE,NA
126,11,9,NA,FALSE,NA
139,12,10,NA,FALSE,NA
152,13,11,NA,FALSE,NA
165,15,4,NA,FALSE,NA
178,16,12,NA,FALSE,NA
191,17,13,NA,FALSE,NA
204,18,6,NA,FALSE,NA
217,19,14,NA,FALSE,NA
230,20,15,NA,FALSE,NA
243,22,16,NA,FALSE,NA
256,23,17,NA,FALSE,NA
269,24,18,NA,FALSE,NA
282,25,19,NA,FALSE,NA
295,26,20,NA,FALSE,NA
308,27,21,NA,FALSE,NA
320,29,22,NA,FALSE,NA
332,30,14,NA,FALSE,NA
343,31,9,NA,FALSE,NA
354,32,15,NA,FALSE,NA
364,33,16,NA,FALSE,NA
374,34,7,NA,FALSE,NA
383,36,23,NA,FALSE,NA
393,37,10,NA,FALSE,NA
403,38,0,NA,FALSE,NA
413,39,1,NA,FALSE,NA
423,40,8,NA,FALSE,NA
433,41,11,NA,FALSE,NA
10,1,0,NA,FALSE,NA
23,2,1,NA,FALSE,NA
36,3,2,NA,FALSE,NA
49,4,3,NA,FALSE,NA
62,5,4,NA,FALSE,NA
75,6,5,NA,FALSE,NA
88,8,6,NA,FALSE,NA
101,9,7,NA,FALSE,NA
114,10,8,NA,FALSE,NA
127,11,9,NA,FALSE,NA
140,12,10,NA,FALSE,NA
153,13,11,NA,FALSE,NA
166,15,4,NA,FALSE,NA
179,16,12,NA,FALSE,NA
192,17,13,NA,FALSE,NA
205,18,6,NA,FALSE,NA
218,19,14,NA,FALSE,NA
231,20,15,NA,FALSE,NA
244,22,16,NA,FALSE,NA
257,23,17,NA,FALSE,NA
270,24,18,NA,FALSE,NA
283,25,19,NA,FALSE,NA
296,26,20,NA,FALSE,NA
309,27,21,NA,FALSE,NA
321,29,22,NA,FALSE,NA
333,30,14,NA,FALSE,NA
344,31,9,NA,FALSE,NA
355,32,15,NA,FALSE,NA
365,33,16,NA,FALSE,NA
375,34,7,NA,FALSE,NA
384,36,23,NA,FALSE,NA
394,37,10,NA,FALSE,NA
404,38,0,NA,FALSE,NA
414,39,1,NA,FALSE,NA
424,40,8,NA,FALSE,NA
434,41,11,NA,FALSE,NA
11,1,0,NA,FALSE,NA
24,2,1,NA,FALSE,NA
37,3,2,NA,FALSE,NA
50,4,3,NA,FALSE,NA
63,5,4,NA,FALSE,NA
76,6,5,NA,FALSE,NA
89,8,6,NA,FALSE,NA
102,9,7,NA,FALSE,NA
115,10,8,NA,FALSE,NA
128,11,9,NA,FALSE,NA
141,12,10,NA,FALSE,NA
154,13,11,NA,FALSE,NA
167,15,4,NA,FALSE,NA
180,16,12,NA,FALSE,NA
193,17,13,NA,FALSE,NA
206,18,6,NA,FALSE,NA
219,19,14,NA,FALSE,NA
232,20,15,NA,FALSE,NA
245,22,16,NA,FALSE,NA
258,23,17,NA,FALSE,NA
271,24,18,NA,FALSE,NA
284,25,19,NA,FALSE,NA
297,26,20,NA,FALSE,NA
310,27,21,NA,FALSE,NA
322,29,22,NA,FALSE,NA
334,30,14,NA,FALSE,NA
345,31,9,NA,FALSE,NA
356,32,15,NA,FALSE,NA
366,33,16,NA,FALSE,NA
376,34,7,NA,FALSE,NA
385,36,23,NA,FALSE,NA
395,37,10,NA,FALSE,NA
405,38,0,NA,FALSE,NA
415,39,1,NA,FALSE,NA
425,40,8,NA,FALSE,NA
435,41,11,NA,FALSE,NA
12,1,0,NA,FALSE,NA
25,2,1,NA,FALSE,NA
38,3,2,NA,FALSE,NA
51,4,3,NA,FALSE,NA
64,5,4,NA,FALSE,NA
77,6,5,NA,FALSE,NA
