target_side,dataset_id,trial_id,lab_trial_id,full_phrase,aoi_region_set_id,point_of_disambiguation,full_phrase_language
L,0,134,SwitchingCues-CN3A-8,NA,NA,0,eng
R,0,135,SwitchingCues-CN3A-9,NA,NA,0,eng
L,0,136,SwitchingCues-CN3A-10,NA,NA,0,eng
L,0,137,SwitchingCues-CN3A-11,NA,NA,0,eng
R,0,138,SwitchingCues-CN3A-12,NA,NA,0,eng
L,0,139,SwitchingCues-CN3A-13,NA,NA,0,eng
R,0,140,SwitchingCues-CN3A-14,NA,NA,0,eng
R,0,141,SwitchingCues-CN3A-15,NA,NA,0,eng
L,0,142,SwitchingCues-CN3A-16,NA,NA,0,eng
R,0,143,SwitchingCues-CN3A-17,NA,NA,0,eng
L,0,144,SwitchingCues-NC3A-2,NA,NA,0,eng
R,0,145,SwitchingCues-NC3A-3,NA,NA,0,eng
L,0,146,SwitchingCues-NC3A-4,NA,NA,0,eng
R,0,147,SwitchingCues-NC3A-5,NA,NA,0,eng
R,0,148,SwitchingCues-NC3A-6,NA,NA,0,eng
L,0,149,SwitchingCues-NC3A-7,NA,NA,0,eng
L,0,150,SwitchingCues-NC3A-8,NA,NA,0,eng
R,0,151,SwitchingCues-NC3A-9,NA,NA,0,eng
L,0,152,SwitchingCues-NC3A-10,NA,NA,0,eng
L,0,153,SwitchingCues-NC3A-11,NA,NA,0,eng
R,0,154,SwitchingCues-NC3A-12,NA,NA,0,eng
L,0,155,SwitchingCues-NC3A-13,NA,NA,0,eng
R,0,156,SwitchingCues-NC3A-14,NA,NA,0,eng
R,0,157,SwitchingCues-NC3A-15,NA,NA,0,eng
L,0,158,SwitchingCues-NC3A-16,NA,NA,0,eng
R,0,159,SwitchingCues-NC3A-17,NA,NA,0,eng
L,0,160,SwitchingCues-CN3B-2,NA,NA,0,eng
R,0,161,SwitchingCues-CN3B-3,NA,NA,0,eng
L,0,162,SwitchingCues-CN3B-4,NA,NA,0,eng
R,0,163,SwitchingCues-CN3B-5,NA,NA,0,eng
R,0,164,SwitchingCues-CN3B-6,NA,NA,0,eng
L,0,165,SwitchingCues-CN3B-7,NA,NA,0,eng
L,0,166,SwitchingCues-CN3B-8,NA,NA,0,eng
R,0,167,SwitchingCues-CN3B-9,NA,NA,0,eng
L,0,168,SwitchingCues-CN3B-10,NA,NA,0,eng
L,0,169,SwitchingCues-CN3B-11,NA,NA,0,eng
R,0,170,SwitchingCues-CN3B-12,NA,NA,0,eng
L,0,171,SwitchingCues-CN3B-13,NA,NA,0,eng
R,0,172,SwitchingCues-CN3B-14,NA,NA,0,eng
R,0,173,SwitchingCues-CN3B-15,NA,NA,0,eng
L,0,174,SwitchingCues-CN3B-16,NA,NA,0,eng
R,0,175,SwitchingCues-CN3B-17,NA,NA,0,eng
L,0,176,SwitchingCues-NC3B-2,NA,NA,0,eng
R,0,177,SwitchingCues-NC3B-3,NA,NA,0,eng
L,0,178,SwitchingCues-NC3B-4,NA,NA,0,eng
R,0,179,SwitchingCues-NC3B-5,NA,NA,0,eng
R,0,180,SwitchingCues-NC3B-6,NA,NA,0,eng
L,0,181,SwitchingCues-NC3B-7,NA,NA,0,eng
L,0,182,SwitchingCues-NC3B-8,NA,NA,0,eng
R,0,183,SwitchingCues-NC3B-9,NA,NA,0,eng
L,0,184,SwitchingCues-NC3B-10,NA,NA,0,eng
L,0,185,SwitchingCues-NC3B-11,NA,NA,0,eng
R,0,186,SwitchingCues-NC3B-12,NA,NA,0,eng
L,0,187,SwitchingCues-NC3B-13,NA,NA,0,eng
R,0,188,SwitchingCues-NC3B-14,NA,NA,0,eng
R,0,189,SwitchingCues-NC3B-15,NA,NA,0,eng
L,0,190,SwitchingCues-NC3B-16,NA,NA,0,eng
R,0,191,SwitchingCues-NC3B-17,NA,NA,0,eng
L,0,192,SwitchingCues-CN4A-2,NA,NA,0,eng
L,0,193,SwitchingCues-CN4A-3,NA,NA,0,eng
R,0,194,SwitchingCues-CN4A-4,NA,NA,0,eng
L,0,195,SwitchingCues-CN4A-5,NA,NA,0,eng
R,0,196,SwitchingCues-CN4A-6,NA,NA,0,eng
R,0,197,SwitchingCues-CN4A-7,NA,NA,0,eng
L,0,198,SwitchingCues-CN4A-8,NA,NA,0,eng
R,0,199,SwitchingCues-CN4A-9,NA,NA,0,eng
L,0,200,SwitchingCues-CN4A-10,NA,NA,0,eng
R,0,201,SwitchingCues-CN4A-11,NA,NA,0,eng
L,0,202,SwitchingCues-CN4A-12,NA,NA,0,eng
R,0,203,SwitchingCues-CN4A-13,NA,NA,0,eng
R,0,204,SwitchingCues-CN4A-14,NA,NA,0,eng
L,0,205,SwitchingCues-CN4A-15,NA,NA,0,eng
L,0,206,SwitchingCues-CN4A-16,NA,NA,0,eng
R,0,207,SwitchingCues-CN4A-17,NA,NA,0,eng
L,0,208,SwitchingCues-NC4A-2,NA,NA,0,eng
L,0,209,SwitchingCues-NC4A-3,NA,NA,0,eng
R,0,210,SwitchingCues-NC4A-4,NA,NA,0,eng
L,0,211,SwitchingCues-NC4A-5,NA,NA,0,eng
R,0,212,SwitchingCues-NC4A-6,NA,NA,0,eng
R,0,213,SwitchingCues-NC4A-7,NA,NA,0,eng
L,0,214,SwitchingCues-NC4A-8,NA,NA,0,eng
R,0,215,SwitchingCues-NC4A-9,NA,NA,0,eng
L,0,216,SwitchingCues-NC4A-10,NA,NA,0,eng
R,0,217,SwitchingCues-NC4A-11,NA,NA,0,eng
L,0,218,SwitchingCues-NC4A-12,NA,NA,0,eng
R,0,219,SwitchingCues-NC4A-13,NA,NA,0,eng
R,0,220,SwitchingCues-NC4A-14,NA,NA,0,eng
L,0,221,SwitchingCues-NC4A-15,NA,NA,0,eng
L,0,222,SwitchingCues-NC4A-16,NA,NA,0,eng
R,0,223,SwitchingCues-NC4A-17,NA,NA,0,eng
L,0,224,SwitchingCues-CN4B-2,NA,NA,0,eng
L,0,225,SwitchingCues-CN4B-3,NA,NA,0,eng
R,0,226,SwitchingCues-CN4B-4,NA,NA,0,eng
L,0,227,SwitchingCues-CN4B-5,NA,NA,0,eng
R,0,228,SwitchingCues-CN4B-6,NA,NA,0,eng
R,0,229,SwitchingCues-CN4B-7,NA,NA,0,eng
L,0,230,SwitchingCues-CN4B-8,NA,NA,0,eng
R,0,231,SwitchingCues-CN4B-9,NA,NA,0,eng
L,0,232,SwitchingCues-CN4B-10,NA,NA,0,eng
R,0,233,SwitchingCues-CN4B-11,NA,NA,0,eng
L,0,234,SwitchingCues-CN4B-12,NA,NA,0,eng
R,0,235,SwitchingCues-CN4B-13,NA,NA,0,eng
R,0,236,SwitchingCues-CN4B-14,NA,NA,0,eng
L,0,237,SwitchingCues-CN4B-15,NA,NA,0,eng
L,0,238,SwitchingCues-CN4B-16,NA,NA,0,eng
R,0,239,SwitchingCues-CN4B-17,NA,NA,0,eng
L,0,240,SwitchingCues-NC4B-2,NA,NA,0,eng
L,0,241,SwitchingCues-NC4B-3,NA,NA,0,eng
R,0,242,SwitchingCues-NC4B-4,NA,NA,0,eng
L,0,243,SwitchingCues-NC4B-5,NA,NA,0,eng
R,0,244,SwitchingCues-NC4B-6,NA,NA,0,eng
R,0,245,SwitchingCues-NC4B-7,NA,NA,0,eng
L,0,246,SwitchingCues-NC4B-8,NA,NA,0,eng
R,0,247,SwitchingCues-NC4B-9,NA,NA,0,eng
L,0,248,SwitchingCues-NC4B-10,NA,NA,0,eng
R,0,249,SwitchingCues-NC4B-11,NA,NA,0,eng
L,0,250,SwitchingCues-NC4B-12,NA,NA,0,eng
R,0,251,SwitchingCues-NC4B-13,NA,NA,0,eng
R,0,252,SwitchingCues-NC4B-14,NA,NA,0,eng
L,0,253,SwitchingCues-NC4B-15,NA,NA,0,eng
L,0,254,SwitchingCues-NC4B-16,NA,NA,0,eng
R,0,255,SwitchingCues-NC4B-17,NA,NA,0,eng
